,0
1),The Godfather
2),The Shawshank Redemption
3),Schindler's List
4),Raging Bull
5),Casablanca
6),Citizen Kane
7),Gone with the Wind
8),The Wizard of Oz
9),One Flew Over the Cuckoo's Nest
10),Lawrence of Arabia
11),Vertigo
12),Psycho
13),The Godfather Part II
14),On the Waterfront
15),Sunset Boulevard
16),Forrest Gump
17),The Sound of Music
18),12 Angry Men
19),West Side Story
20),Star Wars: Episode IV - A New Hope
21),2001: A Space Odyssey
22),E.T. the Extra-Terrestrial
23),The Silence of the Lambs
24),Chinatown
25),The Bridge on the River Kwai
More,to explore
Recently,viewed
